day,n,month,day_of_month
2014-04-01,14546,4,1
2014-04-02,17474,4,2
2014-04-03,20701,4,3
2014-04-04,26714,4,4
2014-04-05,19521,4,5
2014-04-06,13445,4,6
2014-04-07,19550,4,7
2014-04-08,16188,4,8
2014-04-09,16843,4,9
2014-04-10,20041,4,10
2014-04-11,20420,4,11
2014-04-12,18170,4,12
2014-04-13,12112,4,13
2014-04-14,12674,4,14
2014-04-15,20641,4,15
2014-04-16,17717,4,16
2014-04-17,20973,4,17
2014-04-18,18074,4,18
2014-04-19,14602,4,19
2014-04-20,11017,4,20
2014-04-21,13162,4,21
2014-04-22,16975,4,22
2014-04-23,20346,4,23
2014-04-24,23352,4,24
2014-04-25,25095,4,25
2014-04-26,24925,4,26
2014-04-27,14677,4,27
2014-04-28,15475,4,28
2014-04-29,22835,4,29
2014-04-30,36251,4,30
2014-06-01,15967,6,1
2014-06-02,17503,6,2
2014-06-03,22674,6,3
2014-06-04,22831,6,4
2014-06-05,28371,6,5
2014-06-06,24683,6,6
2014-06-07,20889,6,7
2014-06-08,15749,6,8
2014-06-09,23244,6,9
2014-06-10,22874,6,10
2014-06-11,25716,6,11
2014-06-12,29844,6,12
2014-06-13,31207,6,13
2014-06-14,19327,6,14
2014-06-15,14511,6,15
2014-06-16,17778,6,16
2014-06-17,21807,6,17
2014-06-18,24647,6,18
2014-06-19,28594,6,19
2014-06-20,24271,6,20
2014-06-21,19940,6,21
2014-06-22,16322,6,22
2014-06-23,17735,6,23
2014-06-24,20779,6,24
2014-06-25,26460,6,25
2014-06-26,28516,6,26
2014-06-27,24895,6,27
2014-06-28,21208,6,28
2014-06-29,17107,6,29
2014-06-30,18395,6,30
2014-07-01,21228,7,1
2014-07-02,26480,7,2
2014-07-03,21597,7,3
2014-07-04,14148,7,4
2014-07-05,10890,7,5
2014-07-06,11443,7,6
2014-07-07,18280,7,7
2014-07-08,25763,7,8
2014-07-09,27817,7,9
2014-07-10,30541,7,10
2014-07-11,28752,7,11
2014-07-12,25936,7,12
2014-07-13,21082,7,13
2014-07-14,27350,7,14
2014-07-15,33845,7,15
2014-07-16,28607,7,16
2014-07-17,30710,7,17
2014-07-18,29860,7,18
2014-07-19,25726,7,19
2014-07-20,21212,7,20
2014-07-21,23578,7,21
2014-07-22,29029,7,22
2014-07-23,34073,7,23
2014-07-24,32050,7,24
2014-07-25,29975,7,25
2014-07-26,27708,7,26
2014-07-27,22590,7,27
2014-07-28,23981,7,28
2014-07-29,27589,7,29
2014-07-30,30740,7,30
2014-07-31,33541,7,31
2014-08-01,32353,8,1
2014-08-02,28678,8,2
2014-08-03,23146,8,3
2014-08-04,24952,8,4
2014-08-05,28094,8,5
2014-08-06,30495,8,6
2014-08-07,32759,8,7
2014-08-08,30411,8,8
2014-08-09,26286,8,9
2014-08-10,20584,8,10
2014-08-11,22632,8,11
2014-08-12,29646,8,12
2014-08-13,29788,8,13
2014-08-14,30457,8,14
2014-08-15,28974,8,15
2014-08-16,26234,8,16
2014-08-17,21209,8,17
2014-08-18,21956,8,18
2014-08-19,24834,8,19
2014-08-20,27955,8,20
2014-08-21,32304,8,21
2014-08-22,29512,8,22
2014-08-23,27097,8,23
2014-08-24,22036,8,24
2014-08-25,22093,8,25
2014-08-26,24550,8,26
2014-08-27,27018,8,27
2014-08-28,28597,8,28
2014-08-29,27424,8,29
2014-08-30,23930,8,30
2014-08-31,23271,8,31
2014-09-01,19961,9,1
2014-09-02,28831,9,2
2014-09-03,32631,9,3
2014-09-04,38360,9,4
2014-09-05,42319,9,5
2014-09-06,40520,9,6
2014-09-07,30134,9,7
2014-09-08,30360,9,8
2014-09-09,34560,9,9
2014-09-10,35910,9,10
2014-09-11,36439,9,11
2014-09-12,39540,9,12
2014-09-13,43205,9,13
2014-09-14,28122,9,14
2014-09-15,29454,9,15
2014-09-16,36092,9,16
2014-09-17,35531,9,17
2014-09-18,40274,9,18
2014-09-19,41017,9,19
2014-09-20,38864,9,20
2014-09-21,28620,9,21
2014-09-22,28312,9,22
2014-09-23,30316,9,23
2014-09-24,31301,9,24
2014-09-25,38203,9,25
2014-09-26,37504,9,26
2014-09-27,39468,9,27
2014-09-28,29656,9,28
2014-09-29,29201,9,29
2014-09-30,33431,9,30
