week,n,year,week_number
2014-13,98956,2014,13
2014-14,124657,2014,14
2014-15,116793,2014,15
2014-16,134872,2014,16
2014-17,89238,2014,17
2014-22,152918,2014,22
2014-23,167961,2014,23
2014-24,151548,2014,24
2014-25,155915,2014,25
2014-26,129845,2014,26
2014-27,168532,2014,27
2014-28,197180,2014,28
2014-29,197625,2014,29
2014-30,199472,2014,30
2014-31,196143,2014,31
2014-32,188315,2014,32
2014-33,184867,2014,33
2014-34,175648,2014,34
2014-35,225893,2014,35
2014-36,250148,2014,36
2014-37,249354,2014,37
2014-38,233724,2014,38
2014-39,92288,2014,39
