hour,month,total_trips
0,Apr,11910
0,Jun,14514
0,Jul,17953
0,Aug,21451
0,Sep,24133
1,Apr,7769
1,Jun,9167
1,Jul,11527
1,Aug,14471
1,Sep,16107
2,Apr,4935
2,Jun,6189
2,Jul,8562
2,Aug,10105
2,Sep,10702
3,Apr,5040
3,Jun,6937
3,Jul,9199
3,Aug,10376
3,Sep,10789
4,Apr,6095
4,Jun,7701
4,Jul,10040
4,Aug,11774
4,Sep,12675
5,Apr,9476
5,Jun,11955
5,Jul,14932
5,Aug,16525
5,Sep,20262
6,Apr,18498
6,Jun,22030
6,Jul,23456
6,Aug,24907
6,Sep,33307
7,Apr,24924
7,Jun,30834
7,Jul,32545
7,Aug,34064
7,Sep,43314
8,Apr,22843
8,Jun,29771
8,Jul,33387
8,Aug,34566
8,Sep,44477
9,Apr,17939
9,Jun,24298
9,Jul,28486
9,Aug,30195
9,Sep,38542
10,Apr,17865
10,Jun,23584
10,Jul,28558
10,Aug,30706
10,Sep,37634
11,Apr,18774
11,Jun,24155
11,Jul,30120
11,Aug,31778
11,Sep,38821
12,Apr,19425
12,Jun,25233
12,Jul,30900
12,Aug,32106
12,Sep,39193
13,Apr,22603
13,Jun,28937
13,Jul,35832
13,Aug,35764
13,Sep,45042
14,Apr,27190
14,Jun,34428
14,Jul,41357
14,Aug,40644
14,Sep,52643
15,Apr,35324
15,Jun,41586
15,Jul,46053
15,Aug,48197
15,Sep,61219
16,Apr,42003
16,Jun,48162
16,Jul,52403
16,Aug,53481
16,Sep,68224
17,Apr,45475
17,Jun,50452
17,Jul,58260
17,Aug,57122
17,Sep,73373
18,Apr,43003
18,Jun,45013
18,Jul,57268
18,Aug,55390
18,Sep,75040
19,Apr,38923
19,Jun,38203
19,Jul,52332
19,Aug,53008
19,Sep,69660
20,Apr,36244
20,Jun,40108
20,Jul,51859
20,Aug,51674
20,Sep,63988
21,Apr,36964
21,Jun,40791
21,Jul,49528
21,Aug,51354
21,Sep,60606
22,Apr,30645
22,Jun,35614
22,Jul,42218
22,Aug,46008
22,Sep,51817
23,Apr,20649
23,Jun,24182
23,Jul,29346
23,Aug,33609
23,Sep,36568
